RndUniform,NPUniform
67,96
30,30
6,23
79,97
19,58
0,37
52,28
71,18
53,34
25,99
20,95
90,21
98,97
10,33
76,60
35,8
22,93
33,63
34,41
81,7
95,58
65,35
2,7
1,32
94,49
37,43
9,40
61,57
7,24
99,22
89,55
83,96
60,76
61,31
68,91
89,98
47,70
74,7
18,66
75,80
39,3
83,63
86,43
77,52
83,36
66,73
10,59
54,71
5,84
35,10
12,89
41,50
13,38
23,45
28,53
23,81
52,69
40,76
85,64
8,69
52,24
88,23
4,77
34,30
65,55
41,81
20,72
70,14
44,77
17,23
81,22
58,43
95,57
42,89
79,67
76,47
4,76
97,83
54,64
18,3
21,92
3,71
61,74
81,27
8,7
30,37
89,0
49,23
96,84
84,76
0,81
74,97
1,98
76,41
8,46
52,72
93,47
87,53
46,76
68,71
39,16
19,27
2,99
63,59
46,14
86,44
41,45
94,63
32,92
29,77
95,61
49,52
58,29
24,47
28,24
33,2
13,50
34,73
54,55
3,74
58,83
35,31
27,19
70,63
10,94
78,89
0,51
0,25
56,21
90,14
47,55
90,67
52,37
95,5
64,45
72,79
30,69
24,15
90,18
12,35
67,94
76,26
21,49
59,52
22,10
45,20
71,26
5,53
26,99
64,66
68,0
72,10
78,62
86,76
20,97
98,31
30,49
39,29
24,87
0,98
93,43
76,4
12,45
32,37
86,95
51,46
8,51
65,11
71,92
35,20
40,58
74,99
63,25
2,85
20,15
50,38
54,86
65,32
24,77
90,31
37,95
44,73
81,3
78,90
36,84
61,28
62,80
32,88
15,96
64,41
0,89
4,81
0,40
54,87
70,85
70,45
12,21
21,1
84,99
75,40
94,64
67,48
15,13
25,91
24,20
59,35
60,38
11,43
59,59
95,58
26,34
60,55
70,43
97,95
73,71
56,51
98,68
21,2
10,52
44,65
98,17
50,0
75,81
44,41
20,25
6,88
48,12
30,16
57,53
99,13
94,31
48,52
3,77
41,23
43,29
87,70
5,59
56,31
4,25
71,53
10,14
85,69
53,69
39,96
12,30
73,62
12,50
55,99
68,81
28,48
30,74
30,2
94,72
13,17
20,6
2,98
4,88
10,29
71,91
58,99
95,11
60,86
45,39
91,1
37,89
75,91
31,25
75,9
13,12
1,10
86,27
13,57
68,82
16,67
8,0
39,43
36,24
53,57
89,88
21,49
91,91
97,90
95,69
49,91
3,75
11,33
98,65
83,42
13,65
52,96
92,17
71,0
21,65
98,0
49,31
24,58
40,14
32,15
82,95
42,57
70,20
50,85
6,92
27,38
27,97
34,73
18,3
44,1
95,51
9,27
31,60
60,46
26,56
40,77
49,24
12,51
46,0
35,14
43,29
30,73
57,36
5,4
49,5
49,51
24,61
63,41
57,44
53,59
58,66
77,48
77,62
2,51
82,53
84,67
80,45
84,41
53,86
72,43
97,11
19,35
9,24
19,1
76,49
42,43
16,43
37,29
48,41
23,52
61,96
61,88
3,66
21,30
0,83
28,58
23,27
46,55
23,14
70,70
22,66
37,9
85,48
84,16
92,58
37,20
8,86
10,46
52,79
17,57
98,32
36,91
58,54
41,51
19,26
89,76
40,65
10,33
62,81
24,80
76,58
4,43
7,83
97,2
93,19
80,90
76,77
26,41
83,80
92,22
1,53
45,61
9,68
44,74
37,37
60,41
54,45
27,11
41,20
13,16
79,50
15,74
27,95
96,47
17,54
27,69
93,25
62,6
72,84
69,55
83,0
18,14
24,65
55,28
48,99
51,45
78,15
79,80
40,25
73,54
51,90
78,52
21,79
21,19
49,26
44,19
4,52
60,95
47,61
61,56
4,67
77,48
89,8
49,34
66,7
79,81
55,12
75,36
96,48
65,27
46,0
40,94
94,25
84,29
40,66
89,45
30,60
11,57
50,8
62,11
7,67
29,84
15,78
50,3
39,97
68,23
36,52
37,33
96,39
32,81
89,4
14,6
54,73
67,37
61,97
58,98
95,2
26,46
98,90
97,33
21,29
69,38
20,68
75,85
0,45
25,29
63,22
24,90
65,56
74,11
28,61
38,75
28,81
65,38
45,9
66,91
10,82
85,68
88,71
18,55
5,63
15,51
6,53
71,80
66,2
8,61
1,55
0,86
42,93
91,54
3,47
86,86
87,33
17,46
10,31
29,76
89,57
93,47
0,71
44,89
81,37
62,9
55,2
15,42
69,13
86,12
38,91
10,78
6,27
89,53
58,15
84,69
67,5
92,22
81,68
14,25
33,50
4,27
80,6
34,54
61,2
52,94
41,33
66,42
34,30
79,10
67,28
8,40
19,69
39,22
48,10
94,1
53,1
90,98
55,53
56,90
30,35
33,94
91,76
8,37
4,95
53,73
42,36
2,22
88,52
11,30
37,32
59,78
12,26
21,18
35,21
74,97
3,7
61,13
29,28
51,61
78,51
8,20
6,18
60,86
66,46
27,70
85,7
45,78
80,66
23,74
90,46
3,30
5,81
28,19
43,23
41,28
8,74
39,80
43,33
82,29
87,69
93,17
45,39
2,70
67,58
74,15
92,54
2,47
53,10
15,80
73,78
90,73
50,30
39,6
70,66
12,60
47,53
0,93
11,48
97,72
37,85
19,91
0,44
46,56
10,11
72,44
64,3
46,92
14,5
